year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Brand,Car_Type,High_Performance,vehicle_id,model,image_url
2017,12000,Automatic,15944,Petrol,150.0,57.7,1.0,Ford,Hatchback,0,0, Fiesta,/static/car_images/Ford_Fiesta.jpg
2018,14000,Manual,9083,Petrol,150.0,57.7,1.0,Ford,Hatchback,0,1, Focus,/static/car_images/Ford_Focus.jpg
2017,13000,Manual,12456,Petrol,150.0,57.7,1.0,Ford,Hatchback,0,2, Focus,/static/car_images/Ford_Focus.jpg
2019,17500,Manual,10460,Petrol,145.0,40.3,1.5,Ford,Hatchback,0,3, Fiesta,/static/car_images/Ford_Fiesta.jpg
2019,16500,Automatic,1482,Petrol,145.0,48.7,1.0,Ford,Hatchback,0,4, Fiesta,/static/car_images/Ford_Fiesta.jpg
2015,10500,Manual,35432,Petrol,145.0,47.9,1.6,Ford,Hatchback,0,5, Fiesta,/static/car_images/Ford_Fiesta.jpg
2019,22500,Manual,2029,Petrol,145.0,50.4,1.0,Ford,Hatchback,0,6, Puma,/static/car_images/Ford_Puma.jpg
2017,9000,Manual,13054,Petrol,145.0,54.3,1.2,Ford,Hatchback,0,7, Fiesta,/static/car_images/Ford_Fiesta.jpg
2019,25500,Automatic,6894,Diesel,145.0,42.2,2.0,Ford,SUV,0,8, Kuga,/static/car_images/Ford_Kuga.jpg
2018,10000,Manual,48141,Petrol,145.0,61.4,1.0,Ford,Hatchback,0,9, Focus,/static/car_images/Ford_Focus.jpg
2018,11561,Manual,18803,Petrol,145.0,56.5,1.0,Ford,Hatchback,0,10, Fiesta,/static/car_images/Ford_Fiesta.jpg
2018,13500,Manual,12065,Petrol,145.0,54.3,1.0,Ford,SUV,0,11, EcoSport,/static/car_images/Ford_EcoSport.jpg
2017,11000,Manual,20978,Petrol,0.0,65.7,1.0,Ford,Hatchback,0,12, Fiesta,/static/car_images/Ford_Fiesta.jpg
